,Name,Date,Departure,Arrival,Source,Destination,Stops,Duration,Price
698,IndiGo,23 Mar,14:55,22:00,Patna,Bangalore,1 Stop,7h 05m,"3,549"
699,IndiGo,23 Mar,09:15,12:00,Patna,Bangalore,Non Stop,2h 45m,"4,000"
700,IndiGo,23 Mar,19:25,22:10,Patna,Bangalore,Non Stop,2h 45m,"4,000"
701,IndiGo,23 Mar,01:40,06:55,Patna,Bangalore,1 Stop,5h 15m,"4,001"
702,IndiGo,23 Mar,01:40,08:15,Patna,Bangalore,1 Stop,6h 35m,"4,001"
703,IndiGo,23 Mar,08:25,15:25,Patna,Bangalore,1 Stop,7h 00m,"4,001"
704,IndiGo,23 Mar,10:45,18:30,Patna,Bangalore,1 Stop,7h 45m,"4,001"
705,IndiGo,23 Mar,01:40,09:35,Patna,Bangalore,1 Stop,7h 55m,"4,001"
706,IndiGo,23 Mar,10:45,19:35,Patna,Bangalore,1 Stop,8h 50m,"4,001"
707,IndiGo,23 Mar,01:40,10:35,Patna,Bangalore,1 Stop,8h 55m,"4,001"
708,IndiGo,7 Apr,04:50,10:15,Pune,Lucknow,1 Stop,5h 25m,"4,077"
709,Air India,7 Apr,07:40,13:25,Pune,Lucknow,1 Stop,5h 45m,"4,077"
710,IndiGo,7 Apr,11:05,17:40,Pune,Lucknow,1 Stop,6h 35m,"4,077"
711,IndiGo,7 Apr,07:20,14:35,Pune,Lucknow,1 Stop,7h 15m,"4,077"
712,IndiGo,7 Apr,05:45,13:30,Pune,Lucknow,1 Stop,7h 45m,"4,077"
713,IndiGo,7 Apr,04:50,14:35,Pune,Lucknow,1 Stop,9h 45m,"4,077"
714,IndiGo,7 Apr,00:45,10:35,Pune,Lucknow,1 Stop,9h 50m,"4,077"
715,Air India,7 Apr,07:40,19:40,Pune,Lucknow,1 Stop,12h 00m,"4,077"
716,Air India,7 Apr,18:50,13:25 + 1 day,Pune,Lucknow,1 Stop,18h 35m,"4,077"
717,Air India,7 Apr,18:50,19:40 + 1 day,Pune,Lucknow,1 Stop,24h 50m,"4,077"
718,Go First,22 Mar,20:55,22:55,Pune,New Delhi,Non Stop,2h 00m,"2,564"
719,IndiGo,22 Mar,20:30,22:40,Pune,New Delhi,Non Stop,2h 10m,"2,564"
720,Go First,22 Mar,19:10,21:30,Pune,New Delhi,Non Stop,2h 20m,"2,564"
721,Air Asia,22 Mar,01:30,03:35,Pune,New Delhi,Non Stop,2h 05m,"2,565"
722,Air Asia,22 Mar,17:55,20:10,Pune,New Delhi,Non Stop,2h 15m,"2,565"
